date,price
2024-09-08,0.15319
2024-09-09,0.15459
2024-09-10,0.15301
2024-09-11,0.15339
2024-09-12,0.15192
2024-09-13,0.14888
2024-09-14,0.14751
2024-09-15,0.1489
2024-09-16,0.14893
2024-09-17,0.15001
2024-09-18,0.14953
2024-09-19,0.15154
2024-09-20,0.15203
2024-09-21,0.15198
2024-09-22,0.15178
2024-09-23,0.15235
2024-09-24,0.15123
2024-09-25,0.14998
2024-09-26,0.1531
2024-09-27,0.1551
2024-09-28,0.15508
2024-09-29,0.15637
2024-09-30,0.15591
2024-10-01,0.15352
2024-10-02,0.15452
2024-10-03,0.15771
2024-10-04,0.15645
2024-10-05,0.1535
2024-10-06,0.15432
2024-10-07,0.15583
2024-10-08,0.16001
2024-10-09,0.16055
2024-10-10,0.15879
2024-10-11,0.15978
2024-10-12,0.1625
2024-10-13,0.1626
2024-10-14,0.16054
2024-10-15,0.15884
2024-10-16,0.16007
2024-10-17,0.15943
2024-10-18,0.15843
2024-10-19,0.15671
2024-10-20,0.15676
2024-10-21,0.15835
2024-10-22,0.1603
2024-10-23,0.16038
2024-10-24,0.1646
2024-10-25,0.16254
2024-10-26,0.16513
2024-10-27,0.16396
2024-10-28,0.16419
2024-10-29,0.1664
2024-10-30,0.16924
2024-10-31,0.16854
2024-11-01,0.16743
2024-11-02,0.16613
2024-11-03,0.16511
2024-11-04,0.1629
2024-11-05,0.16001
2024-11-06,0.16251
2024-11-07,0.16013
2024-11-08,0.16098
2024-11-09,0.16211
2024-11-10,0.16404
2024-11-11,0.16795
2024-11-12,0.18742
2024-11-13,0.17703
2024-11-14,0.17647
2024-11-15,0.19124
2024-11-16,0.20017
2024-11-17,0.19954
2024-11-18,0.2021
2024-11-19,0.19953
2024-11-20,0.19462
2024-11-21,0.19868
2024-11-22,0.20481
2024-11-23,0.21201
2024-11-24,0.20861
2024-11-25,0.19592
2024-11-26,0.19443
2024-11-27,0.20105
2024-11-28,0.20329
2024-11-29,0.20442
2024-11-30,0.2048
2024-12-01,0.20725
2024-12-02,0.22113
2024-12-03,0.43345
2024-12-04,0.33061
2024-12-05,0.32245
2024-12-06,0.32563
2024-12-07,0.31885
2024-12-08,0.31849
2024-12-09,0.26278
2024-12-10,0.26946
2024-12-11,0.28218
2024-12-12,0.2968
2024-12-13,0.29079
2024-12-14,0.28245
2024-12-15,0.28574
2024-12-16,0.29664
2024-12-17,0.27951
2024-12-18,0.25797
2024-12-19,0.2511
2024-12-20,0.2487
2024-12-21,0.24498
2024-12-22,0.2443
2024-12-23,0.25248
2024-12-24,0.25644
2024-12-25,0.25807
2024-12-26,0.25385
2024-12-27,0.25932
2024-12-28,0.25842
2024-12-29,0.2579
2024-12-30,0.25357
2024-12-31,0.25471
2025-01-01,0.25597
2025-01-02,0.26524
2025-01-03,0.2702
2025-01-04,0.2696
2025-01-05,0.26268
2025-01-06,0.26839
2025-01-07,0.25253
2025-01-08,0.25054
2025-01-09,0.24016
2025-01-10,0.2445
2025-01-11,0.24101
2025-01-12,0.23358
2025-01-13,0.22292
2025-01-14,0.22083
2025-01-15,0.23808
2025-01-16,0.2371
2025-01-17,0.24877
2025-01-18,0.24236
2025-01-19,0.22856
2025-01-20,0.23814
2025-01-21,0.24484
2025-01-22,0.2537
2025-01-23,0.25273
2025-01-24,0.25432
2025-01-25,0.2534
2025-01-26,0.24613
2025-01-27,0.2465
2025-01-28,0.23998
2025-01-29,0.24006
2025-01-30,0.25199
2025-01-31,0.2537
2025-02-01,0.24422
2025-02-02,0.22561
2025-02-03,0.22871
2025-02-04,0.21833
