date,tvl
2022-11-21,23137738621.523766
2022-11-22,22798180778.65253
2022-11-23,22703552110.85292
2022-11-24,23020976623.60225
2022-11-25,22760771617.96051
2022-11-26,22841984457.010384
2022-11-27,22906870715.47313
2022-11-28,22736183629.88639
2022-11-29,22503709259.38614
2022-11-30,23275962146.004276
2022-12-01,23562868049.8209
2022-12-02,23565042053.762466
2022-12-03,23556907214.315735
2022-12-04,23250255624.59253
2022-12-05,23652707691.828987
2022-12-06,23329819188.079445
2022-12-07,23338462773.908974
2022-12-08,23099450485.59713
2022-12-09,23515180064.514084
2022-12-10,23488917406.189087
2022-12-11,23550435546.673355
2022-12-12,23440396612.11889
2022-12-13,23504662953.277016
2022-12-14,23975592079.792316
2022-12-15,23870160525.16391
2022-12-16,23250651092.284683
2022-12-17,22264076526.32109
2022-12-18,22340516915.03364
2022-12-19,22401680409.53315
2022-12-20,22178807618.699142
2022-12-21,22566066007.642895
2022-12-22,22650268205.69442
2022-12-23,22688136596.161686
2022-12-24,22742446323.85691
2022-12-25,22734337725.029514
2022-12-26,22577685472.888657
2022-12-27,22673081403.34479
2022-12-28,22500476197.42135
2022-12-29,22335692166.64644
2022-12-30,22385940215.30102
2022-12-31,22306983804.614033
2023-01-01,22135055024.88195
2023-01-02,22070879174.43555
2023-01-03,22372803052.98831
2023-01-04,22428058254.3019
2023-01-05,22819406252.25133
2023-01-06,22772002951.728104
2023-01-07,22864411372.523304
2023-01-08,22999720857.753838
2023-01-09,23345541712.975655
2023-01-10,23636815815.65761
2023-01-11,23718649735.99764
2023-01-12,24334771822.709663
2023-01-13,24467243187.502342
2023-01-14,25732246569.913715
2023-01-15,25654959382.950077
2023-01-16,25945631138.616554
2023-01-17,26019691328.63858
2023-01-18,26116295599.785126
2023-01-19,25543999204.647858
2023-01-20,26015133404.492336
2023-01-21,27265273066.391624
2023-01-22,27088349359.321358
2023-01-23,27083592979.60618
2023-01-24,27157500055.84367
2023-01-25,26626663857.86295
2023-01-26,27347542445.959423
2023-01-27,27208152668.48051
2023-01-28,27363810030.949112
2023-01-29,27246899207.140045
2023-01-30,27834905726.78856
2023-01-31,27025069000.123413
2023-02-01,27187587102.713207
2023-02-02,28274544382.894207
2023-02-03,27912055297.64399
2023-02-04,28136754953.012363
2023-02-05,28097884531.11377
2023-02-06,27793122070.047905
2023-02-07,27724264792.671806
2023-02-08,28335870098.469437
2023-02-09,28022383272.489037
2023-02-10,26904665981.964127
2023-02-11,26664510876.273693
2023-02-12,26993989360.323223
2023-02-13,26810274016.958485
2023-02-14,26802033374.96353
2023-02-15,27301515939.257492
2023-02-16,28935964567.88379
2023-02-17,28492135951.16163
2023-02-18,29157485671.31526
2023-02-19,29343647246.46147
2023-02-20,29147456715.28711
2023-02-21,29513479477.379677
2023-02-22,28760675195.376747
2023-02-23,28605666149.077877
2023-02-24,28656408621.016502
2023-02-25,28084714854.569054
2023-02-26,27941036830.710182
2023-02-27,28559193792.385063
2023-02-28,28593016897.586136
2023-03-01,28416170094.231087
2023-03-02,29020141308.002922
2023-03-03,28828307632.654274
2023-03-04,27887581962.170586
2023-03-05,28000617532.172325
2023-03-06,28016829812.800777
2023-03-07,27949461803.477097
2023-03-08,27934922659.062355
2023-03-09,27432728896.050423
2023-03-10,26142919835.722042
2023-03-11,26003766615.26615
2023-03-12,25507214469.386875
2023-03-13,27768718549.501884
2023-03-14,27962581755.813404
2023-03-15,28055794941.410202
2023-03-16,27200188653.056496
2023-03-17,27186093107.651825
2023-03-18,28528151867.783092
2023-03-19,28543323747.091515
2023-03-20,28555669114.460747
2023-03-21,28595586244.35109
2023-03-22,29126827841.616814
2023-03-23,28487235592.28351
2023-03-24,29082371565.235245
2023-03-25,28400160698.66722
2023-03-26,28305650835.059578
2023-03-27,28472528976.739304
