date,tvl
2022-11-21,5124047392.466864
2022-11-22,5347985677.312801
2022-11-23,5452559639.344414
2022-11-24,5490754952.095497
2022-11-25,5579300465.421406
2022-11-26,5417306394.100189
2022-11-27,5932634758.4176035
2022-11-28,5839654017.449403
2022-11-29,5573802603.533207
2022-11-30,5568503431.070249
2022-12-01,5647406337.108357
2022-12-02,5673958399.135042
2022-12-03,5114276384.026376
2022-12-04,5483105858.524083
2022-12-05,5565683754.016181
2022-12-06,5369341374.48584
2022-12-07,5651730851.973254
2022-12-08,6038695348.066323
2022-12-09,5585580268.250848
2022-12-10,5577537536.015082
2022-12-11,5778914406.742842
2022-12-12,5552778328.204799
2022-12-13,5443015095.534113
2022-12-14,5074479358.008355
2022-12-15,5038093466.823269
2022-12-16,5051535658.602099
2022-12-17,4730071905.3003
2022-12-18,4755468045.9605255
2022-12-19,4820805005.266055
2022-12-20,4755989698.9603405
2022-12-21,4836072086.831605
2022-12-22,4806691704.083365
2022-12-23,4757103295.478518
2022-12-24,4741476201.828871
2022-12-25,4728857253.618013
2022-12-26,4697673649.846119
2022-12-27,4696298405.575395
2022-12-28,4726209849.408491
2022-12-29,4700762913.137651
2022-12-30,4708650874.672475
2022-12-31,4689251524.447225
2023-01-01,4686294027.81033
2023-01-02,4667463074.853445
2023-01-03,4687930769.397887
2023-01-04,4661796431.731071
2023-01-05,4796051646.360261
2023-01-06,4778601493.260664
2023-01-07,4857630451.016004
2023-01-08,4835705076.489593
2023-01-09,4989632580.008712
2023-01-10,4963564048.466926
2023-01-11,4982396178.743567
2023-01-12,5124631606.53582
2023-01-13,5151424210.811666
2023-01-14,5358083174.5571165
2023-01-15,5303372742.926752
2023-01-16,5329494594.513754
2023-01-17,5287637411.365286
2023-01-18,5304189012.847892
2023-01-19,5188929474.594444
2023-01-20,5261107106.787915
2023-01-21,5420213920.497934
2023-01-22,5417144728.283098
2023-01-23,5455310779.680557
2023-01-24,5472955383.049131
2023-01-25,5415256991.5001955
2023-01-26,5486624222.15455
2023-01-27,5431135476.457915
2023-01-28,5498610628.424637
2023-01-29,5488521706.791084
2023-01-30,5600261717.874847
2023-01-31,5410529426.745584
2023-02-01,5491209538.824698
2023-02-02,5606643654.805587
2023-02-03,5616713036.539696
2023-02-04,5675543340.503886
2023-02-05,5656214874.932142
2023-02-06,5642876263.5251045
2023-02-07,5598861643.691542
2023-02-08,5708851918.93178
2023-02-09,5646138487.260888
2023-02-10,5379751172.294813
