date,tvl
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,0.0
2023-06-20,0.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,0.0
2023-06-29,0.0
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,22037.04181396489
2023-07-28,63456.3479252447
2023-07-29,95010.79162998142
2023-07-30,396143.1006796551
2023-07-31,41200923.81175076
2023-08-01,13430389.971577793
2023-08-02,8497227.720418563
2023-08-03,10965189.935032519
2023-08-04,16640246.93157559
2023-08-05,19765269.74335133
2023-08-06,25897904.727650195
2023-08-07,31364564.241355777
2023-08-08,46028250.11413736
2023-08-09,50326945.52650813
2023-08-10,61020788.82364657
2023-08-11,88298751.59303498
2023-08-12,96222675.32221183
2023-08-13,110650638.39527641
2023-08-14,118711093.450481
2023-08-15,137476504.93698815
2023-08-16,160153410.3326497
2023-08-17,163004999.0787906
2023-08-18,160209618.47003672
2023-08-19,157864164.47630075
2023-08-20,169091456.29983515
2023-08-21,173399556.5668285
2023-08-22,182072463.3747963
2023-08-23,177363722.9149682
2023-08-24,185888324.0742564
2023-08-25,187571163.36631286
2023-08-26,178458169.06131443
2023-08-27,177808258.1129087
2023-08-28,184139677.43046242
2023-08-29,185048731.48026198
2023-08-30,191919438.67244798
2023-08-31,191408059.76235682
2023-09-01,324755909.3553283
2023-09-02,365366263.53223234
2023-09-03,360607111.3898097
2023-09-04,380813882.72421795
2023-09-05,376975470.54732144
2023-09-06,383508500.89383256
2023-09-07,369553455.5808792
2023-09-08,364016476.8189478
2023-09-09,368222532.4368304
2023-09-10,370116721.9523982
2023-09-11,365589860.35192317
2023-09-12,346447256.2133681
2023-09-13,350217723.973276
2023-09-14,352861167.82745385
2023-09-15,355714368.2180539
2023-09-16,355260280.6415159
2023-09-17,352198942.5056432
2023-09-18,354249840.5751255
2023-09-19,348998616.817809
2023-09-20,347873249.2155145
2023-09-21,337716113.34159124
2023-09-22,326445841.98335326
2023-09-23,316736710.91952443
2023-09-24,320420280.6834401
2023-09-25,319178085.52462727
2023-09-26,319194961.1445573
2023-09-27,314936306.25401765
2023-09-28,317737375.9891734
2023-09-29,331756874.3275184
2023-09-30,333578818.03952163
2023-10-01,334620707.4678319
2023-10-02,341549233.8197928
2023-10-03,333891465.4309523
2023-10-04,331485837.86922264
2023-10-05,328781834.40789557
2023-10-06,331771473.13651365
2023-10-07,332652345.77727616
2023-10-08,328703515.87904835
2023-10-09,326733527.1288065
2023-10-10,321381555.1631224
2023-10-11,320098315.4620803
2023-10-12,305701980.2631033
2023-10-13,297883077.7666473
2023-10-14,298298472.1430559
2023-10-15,294272897.8250852
2023-10-16,293839787.2862228
2023-10-17,297802402.3695961
2023-10-18,292666457.2143612
2023-10-19,291128943.41814965
2023-10-20,290695834.0665182
2023-10-21,290429741.51242685
2023-10-22,292493949.0793381
2023-10-23,292415371.4928295
2023-10-24,301134125.25641406
2023-10-25,294357895.29661953
2023-10-26,293269620.06419486
2023-10-27,291045328.9544904
2023-10-28,291075373.6715429
2023-10-29,290410436.92121816
2023-10-30,291248440.6459327
2023-10-31,285560991.5629281
2023-11-01,289147046.21640724
2023-11-02,288859118.5728479
2023-11-03,280136402.9438232
2023-11-04,284442747.7871279
2023-11-05,287280456.8592744
2023-11-06,284078400.99573815
2023-11-07,280554542.6087266
2023-11-08,278607613.3966428
2023-11-09,279087915.5864961
2023-11-10,293013461.54322463
2023-11-11,287071603.47136784
2023-11-12,287907542.9615634
2023-11-13,287455237.8739967
2023-11-14,284466994.97917163
2023-11-15,279832122.4098127
2023-11-16,284104911.5971204
2023-11-17,275103301.8154117
2023-11-18,272950464.2174525
2023-11-19,270739083.54475355
2023-11-20,272806802.43890834
2023-11-21,269822317.43356997
2023-11-22,271476657.4414804
2023-11-23,275326328.46181154
2023-11-24,276443293.42095774
2023-11-25,277609609.145645
2023-11-26,279026844.57435405
2023-11-27,273874497.2623402
2023-11-28,279196437.95265573
2023-11-29,282555094.2405255
2023-11-30,280671440.342507
2023-12-01,287818796.07851726
2023-12-02,291964368.9739472
2023-12-03,296868895.53974444
2023-12-04,299929161.7993497
2023-12-05,295208033.5721323
2023-12-06,304812482.6334269
2023-12-07,301475223.140645
2023-12-08,310694209.1912335
2023-12-09,310986884.2819261
2023-12-10,308266786.27904487
2023-12-11,297118752.94015837
2023-12-12,293158203.34963757
2023-12-13,289648243.55130243
2023-12-14,302677171.43821776
2023-12-15,312655774.85460615
2023-12-16,313105768.8259221
2023-12-17,316335944.47808075
2023-12-18,313785749.07269806
2023-12-19,327120517.82983595
2023-12-20,323753071.1786461
2023-12-21,345750102.6928503
2023-12-22,350711579.6525929
2023-12-23,348603364.2837489
2023-12-24,350762141.1228063
2023-12-25,350757919.0028699
2023-12-26,346407680.6681358
2023-12-27,349900730.8049679
2023-12-28,354730050.4631986
2023-12-29,352104532.2253612
2023-12-30,345488452.28955346
2023-12-31,343546343.08228755
2024-01-01,339748929.0573299
2024-01-02,344224688.8446634
2024-01-03,339794612.4368005
2024-01-04,326453543.8825212
2024-01-05,330107925.4271804
2024-01-06,328086561.91584486
2024-01-07,327235915.2561693
