date,tvl
2023-01-07,996180212.4032439
2023-01-08,991211925.3059645
2023-01-09,1002184561.6240089
2023-01-10,1008885979.1033976
2023-01-11,1010061504.0055896
2023-01-12,1034567929.076578
2023-01-13,1029945851.8099954
2023-01-14,1084749369.4783444
2023-01-15,1076871043.6142454
2023-01-16,1081413889.6307979
2023-01-17,1081906700.548386
2023-01-18,1076933686.6127446
2023-01-19,1048942020.3071492
2023-01-20,1076765236.6746218
2023-01-21,1125076025.707355
2023-01-22,1114564984.5358253
2023-01-23,1141572031.8585668
2023-01-24,1149840334.4653194
2023-01-25,1128640025.176172
2023-01-26,1156450210.6341336
2023-01-27,1157080557.2018957
2023-01-28,1174252394.513487
2023-01-29,1181301753.8310208
2023-01-30,1204371936.0693047
2023-01-31,1185566907.8927946
2023-02-01,1207050404.3165119
2023-02-02,1264870653.0998223
2023-02-03,1273771429.4267144
2023-02-04,1310054170.6550705
2023-02-05,1319487700.9923594
2023-02-06,1326278194.679867
2023-02-07,1341310831.0833776
2023-02-08,1413647101.5986466
2023-02-09,1438047355.2691603
2023-02-10,1388108744.8404906
2023-02-11,1407723971.8224566
2023-02-12,1447562160.080764
2023-02-13,1444699660.316643
2023-02-14,1440760134.8143518
2023-02-15,1495420977.6405914
2023-02-16,1587687826.8488944
2023-02-17,1596397383.0345852
2023-02-18,1682521067.132403
2023-02-19,1740696745.6690054
2023-02-20,1759492450.606682
2023-02-21,1813183060.6645675
2023-02-22,1844557187.6816366
2023-02-23,1853473522.0557003
2023-02-24,1883659648.0186393
2023-02-25,1857993132.5740929
2023-02-26,1851991014.549438
2023-02-27,1909141523.8433366
2023-02-28,1923783584.2039495
2023-03-01,1920477154.7815034
2023-03-02,1971602172.8715336
2023-03-03,1934368486.0574386
2023-03-04,1883854374.1604807
2023-03-05,1885248056.5975804
2023-03-06,1907984057.5959082
2023-03-07,1906563042.32388
2023-03-08,1872064505.5985744
2023-03-09,1823320623.7639747
2023-03-10,1718505454.1173906
2023-03-11,1639648017.3888302
2023-03-12,1478491177.586636
2023-03-13,1559344997.214263
2023-03-14,1618608992.8052623
2023-03-15,1647148698.3489609
2023-03-16,1661908856.65942
2023-03-17,1737279424.5732243
2023-03-18,1867010761.9775655
2023-03-19,1887909746.5843637
2023-03-20,1912285769.7771218
2023-03-21,1970208448.4714613
2023-03-22,2020880991.0629895
2023-03-23,2121306549.1714916
2023-03-24,2152495318.9326553
2023-03-25,2159067791.130292
2023-03-26,2182165211.47867
2023-03-27,2222254869.5730176
2023-03-28,2214014359.830078
2023-03-29,2263341799.081896
2023-03-30,2270819939.7151875
2023-03-31,2304181771.423737
2023-04-01,2311151455.3478103
2023-04-02,2271590705.0108137
2023-04-03,2242359694.887573
2023-04-04,2258375237.096346
2023-04-05,2285859352.1789427
2023-04-06,2298656031.626492
2023-04-07,2286571122.260919
2023-04-08,2289252799.3636947
2023-04-09,2292720940.952627
2023-04-10,2292694470.9632964
2023-04-11,2309702862.7955227
2023-04-12,2308383531.235745
2023-04-13,2269295184.6532445
2023-04-14,2362721106.2710547
2023-04-15,2385846977.969174
2023-04-16,2392831514.975633
2023-04-17,2358855455.9493666
2023-04-18,2317178229.9957705
2023-04-19,2349311619.9993515
2023-04-20,2255030375.0011387
2023-04-21,2240109911.1854277
2023-04-22,2183523093.750076
2023-04-23,2199857490.883195
2023-04-24,2206763162.921262
2023-04-25,2191009151.9796867
2023-04-26,2221246061.9697304
2023-04-27,2260871401.8291245
2023-04-28,2282307892.7027526
2023-04-29,2278570805.7189074
2023-04-30,2288086866.178327
2023-05-01,2274994404.352439
2023-05-02,2235421376.8806796
2023-05-03,2258289418.460152
2023-05-04,2305989102.4930215
2023-05-05,2485068445.6069803
2023-05-06,2560782911.7517166
2023-05-07,2492778507.091897
2023-05-08,2480889235.906809
2023-05-09,2412732008.941738
2023-05-10,2440138354.060087
2023-05-11,2413206422.941452
2023-05-12,2376969259.6930704
2023-05-13,2384324801.549803
2023-05-14,2379143582.6052547
2023-05-15,2374902661.7650146
2023-05-16,2397645018.7259283
2023-05-17,2417625720.672453
2023-05-18,2430587863.6377726
2023-05-19,2398323114.651183
2023-05-20,2397274934.2225056
2023-05-21,2415987358.5242176
2023-05-22,2376901200.6132755
2023-05-23,2386458415.9313
2023-05-24,2378828948.814489
2023-05-25,2302904451.662295
2023-05-26,2314880831.927846
2023-05-27,2327831034.977344
2023-05-28,2334046026.0556474
2023-05-29,2358420774.1313744
2023-05-30,2320822032.1876483
2023-05-31,2332475632.079222
2023-06-01,2294490099.298978
2023-06-02,2283347943.1794276
2023-06-03,2316733888.0217743
2023-06-04,2305339771.8652496
2023-06-05,2303331790.282728
2023-06-06,2236152519.558865
2023-06-07,2256429771.069392
2023-06-08,2197217937.390118
2023-06-09,2196432874.9283032
2023-06-10,2194676049.878736
2023-06-11,2081139339.1187978
2023-06-12,2073819898.2979665
2023-06-13,2060061609.4048653
2023-06-14,2073812327.3104749
2023-06-15,2006824113.7932339
2023-06-16,2003927107.806119
2023-06-17,2035919417.5281477
2023-06-18,2037149423.1820502
2023-06-19,2040358200.4742532
2023-06-20,2060400296.52525
