date,tvl
2023-02-09,14338.25909062877
2023-02-10,35703.52416546831
2023-02-11,39599.775387407
2023-02-12,72706.70366731587
2023-02-13,183409.03189369745
2023-02-14,314997.19030971185
2023-02-15,482686.13085636415
2023-02-16,797892.116832468
2023-02-17,998690.9761074022
2023-02-18,1516796.9032892026
2023-02-19,3043605.7313743634
2023-02-20,4124974.613005069
2023-02-21,4335281.613168726
2023-02-22,4105580.0986707686
2023-02-23,4317755.176250075
2023-02-24,4735025.758775822
2023-02-25,5603177.031629194
2023-02-26,8098943.900463848
2023-02-27,10023335.464619875
2023-02-28,11065805.390114453
2023-03-01,12064853.225934595
2023-03-02,14964633.571740383
2023-03-03,15569902.359776193
2023-03-04,16409463.167594397
2023-03-05,17597815.138451304
2023-03-06,18475656.32453765
2023-03-07,19373457.935213704
2023-03-08,20241047.46180682
2023-03-09,21015120.108408596
2023-03-10,10810963.211541547
2023-03-11,11915309.456424206
2023-03-12,9553932.366434293
2023-03-13,10755223.117831225
2023-03-14,9651094.365391698
2023-03-15,10950016.879501455
2023-03-16,11489914.471220706
2023-03-17,12513110.007848464
2023-03-18,12606815.340494089
2023-03-19,12551800.074917212
2023-03-20,12174872.070958408
2023-03-21,11660492.650346164
2023-03-22,11105756.888139967
2023-03-23,14418360.328265997
2023-03-24,15915961.678543823
2023-03-25,18809573.53284328
2023-03-26,19022610.180067237
2023-03-27,19389140.187770195
2023-03-28,18298140.060989514
2023-03-29,18265905.082292203
2023-03-30,16069990.367846753
2023-03-31,12655415.62393861
2023-04-01,13540939.147083497
2023-04-02,13636977.783609439
2023-04-03,12712006.094090737
2023-04-04,12925998.56304873
2023-04-05,12314126.758332008
2023-04-06,11978071.668688584
2023-04-07,12154369.23857203
2023-04-08,11499736.9875032
2023-04-09,11645120.333651548
2023-04-10,12117871.782850733
2023-04-11,12045501.98480212
2023-04-12,11986387.50510645
2023-04-13,11363547.45661148
2023-04-14,10071750.691799924
2023-04-15,9550407.65162337
2023-04-16,10682632.227986958
2023-04-17,10371968.643717706
2023-04-18,10020653.895037943
2023-04-19,10180567.316800497
2023-04-20,9832827.05099236
2023-04-21,10058440.65668617
2023-04-22,9606243.29521427
2023-04-23,9492484.330657564
2023-04-24,9528264.55485757
2023-04-25,9543886.214107346
2023-04-26,9628816.031698095
2023-04-27,9540831.964157488
2023-04-28,9669120.394740993
2023-04-29,10062529.964042142
2023-04-30,10093345.845690781
2023-05-01,10166701.528453285
2023-05-02,9701422.973383855
2023-05-03,9451631.876241302
2023-05-04,8860683.760268765
2023-05-05,8379475.544553884
2023-05-06,8895222.016888337
2023-05-07,9331574.329516163
2023-05-08,9549448.863915563
2023-05-09,8311074.557593374
2023-05-10,8493270.94625036
2023-05-11,7699597.928493164
2023-05-12,8485012.982080683
2023-05-13,8412498.77485767
2023-05-14,8549191.612696622
2023-05-15,8861253.98949856
2023-05-16,8355800.176363407
2023-05-17,8319858.196711138
2023-05-18,7931165.117694867
2023-05-19,7638348.57591593
2023-05-20,7372620.326846488
2023-05-21,7946587.4584988635
2023-05-22,8222589.800425601
2023-05-23,7841300.337197316
2023-05-24,8041604.054502937
2023-05-25,8199343.703706646
2023-05-26,8068176.487999149
2023-05-27,7996177.807938276
2023-05-28,7896308.425779804
2023-05-29,7631371.65081067
2023-05-30,7840921.6517637065
2023-05-31,8108178.311108783
2023-06-01,8196164.800453075
2023-06-02,8912511.934761839
2023-06-03,9437481.012491722
2023-06-04,9628995.105129804
2023-06-05,8807555.13466191
2023-06-06,7863777.014985539
2023-06-07,7910163.783961582
2023-06-08,7475673.351679734
2023-06-09,7382295.132494929
2023-06-10,7012898.851293133
2023-06-11,6249888.4169566175
2023-06-12,6083220.361767547
2023-06-13,5990986.848885508
2023-06-14,5748440.750156346
2023-06-15,5638343.98337258
2023-06-16,5904452.010766559
2023-06-17,6176681.696708617
2023-06-18,6093471.05387399
2023-06-19,6234828.324673713
2023-06-20,6355676.360240156
2023-06-21,6455919.467876718
2023-06-22,6532543.5141451275
2023-06-23,6493997.511425108
2023-06-24,6558383.829696341
2023-06-25,6476382.956759905
2023-06-26,6142673.7577181645
2023-06-27,6226974.531966529
2023-06-28,5850297.8408142375
2023-06-29,5637241.6817657
2023-06-30,5817599.510632966
2023-07-01,5950533.017353752
2023-07-02,5911563.097040167
2023-07-03,5924965.551237186
2023-07-04,6114323.800599907
2023-07-05,5963859.148159165
2023-07-06,5973497.461855155
2023-07-07,5820643.713817854
2023-07-08,5748536.099821599
2023-07-09,5633297.490766381
2023-07-10,5449827.15343622
2023-07-11,5413988.696377342
2023-07-12,5432833.755852959
2023-07-13,5452603.376192457
2023-07-14,5508369.415263599
2023-07-15,5511050.597548325
2023-07-16,5491176.489696699
2023-07-17,5168518.256519463
2023-07-18,4881606.341458825
2023-07-19,4892250.2283485485
2023-07-20,4749492.43168827
2023-07-21,4768074.954212066
2023-07-22,4741467.949350491
2023-07-23,4646473.409664907
2023-07-24,4577408.566589642
2023-07-25,4374973.320765357
2023-07-26,4351546.175015229
2023-07-27,4271119.68994754
2023-07-28,4257252.803595851
2023-07-29,4118989.3012421136
2023-07-30,4109160.8802381535
2023-07-31,4156068.427151197
2023-08-01,4077998.115107268
2023-08-02,4074078.404354233
2023-08-03,4161239.6610772163
2023-08-04,4154905.593717858
2023-08-05,4201134.7310517905
2023-08-06,4323584.4532803735
2023-08-07,4278552.0312354015
2023-08-08,4454413.79915737
2023-08-09,4274381.609307321
2023-08-10,4310744.02539414
2023-08-11,4189662.0660836613
2023-08-12,4250565.652200232
2023-08-13,4086675.8998133303
2023-08-14,4089377.094770146
2023-08-15,4131892.073601943
2023-08-16,4098691.2970646555
2023-08-17,3962237.515486348
2023-08-18,3777613.5638280716
2023-08-19,3752291.976964643
2023-08-20,3877771.9952909024
2023-08-21,3795534.6416462017
2023-08-22,4508709.578444753
2023-08-23,4452092.5631385995
2023-08-24,4447527.72300835
2023-08-25,4327251.80264046
2023-08-26,4207046.072349886
2023-08-27,4423346.7213922795
2023-08-28,4280391.037347102
2023-08-29,4203943.521265146
2023-08-30,4395680.353393982
2023-08-31,4333530.137516158
2023-09-01,4207702.838422667
2023-09-02,3984053.102156026
2023-09-03,3952797.1837664004
2023-09-04,3935745.6804630454
2023-09-05,3879947.6759692333
2023-09-06,3828898.574751117
2023-09-07,3792002.8715581405
2023-09-08,3862388.7511811913
2023-09-09,3834797.874706508
2023-09-10,3804506.3346039294
2023-09-11,3619049.7029625224
2023-09-12,3565847.8422922962
2023-09-13,3651521.324017437
2023-09-14,3628978.5624269387
2023-09-15,3471360.2346342043
2023-09-16,3276830.699399512
2023-09-17,2986988.5744086746
2023-09-18,3069154.1668798616
2023-09-19,3276660.698291997
2023-09-20,3252114.3380584745
2023-09-21,3128342.1676797117
2023-09-22,3200941.5176786976
2023-09-23,3492172.0618770337
2023-09-24,3248642.0480466606
2023-09-25,3290078.5078599094
2023-09-26,3176593.6302164346
2023-09-27,3297009.88812067
2023-09-28,3218788.2340326454
2023-09-29,3234075.733042443
2023-09-30,3217903.613031361
2023-10-01,3207177.176562846
2023-10-02,3221091.8141878773
2023-10-03,3121605.872809975
2023-10-04,3296751.973863394
2023-10-05,3347302.5064307684
2023-10-06,3339139.969337533
2023-10-07,3384745.547966834
2023-10-08,3388347.8028523866
2023-10-09,3335313.7566329846
2023-10-10,3377675.4858953105
2023-10-11,3320366.918296484
2023-10-12,3314465.555665348
2023-10-13,3307160.276445895
2023-10-14,3306046.4221919756
2023-10-15,3304623.4048516825
2023-10-16,3297532.687768004
2023-10-17,3301647.639492776
2023-10-18,3282885.366892988
2023-10-19,3262097.363476392
2023-10-20,3202245.662666064
2023-10-21,3197539.9384046295
2023-10-22,3236435.5836607963
2023-10-23,3222879.056540263
2023-10-24,3320426.9008763665
2023-10-25,2967819.8214809163
2023-10-26,3224727.177939043
2023-10-27,3276177.246786537
2023-10-28,3320637.583167136
2023-10-29,3355130.6335021295
2023-10-30,3461559.2562722457
2023-10-31,3336031.528251421
2023-11-01,3341706.2617729483
2023-11-02,3322358.841287672
2023-11-03,3321864.2390531795
2023-11-04,3264431.9997962806
2023-11-05,3451830.3137019454
2023-11-06,3525013.4054995216
2023-11-07,3584123.097792616
2023-11-08,3714008.264698261
2023-11-09,3867602.8001198135
2023-11-10,4027784.2903580694
2023-11-11,3880987.833580729
2023-11-12,3885872.2396107004
2023-11-13,3838111.392967276
2023-11-14,3627926.740480279
2023-11-15,3697996.7798868185
2023-11-16,3680490.860724677
2023-11-17,3601997.2017947366
2023-11-18,3559639.8441047613
2023-11-19,3628366.2180437036
2023-11-20,3756454.9864741242
2023-11-21,3675760.397410363
2023-11-22,3734939.180392159
2023-11-23,3739189.5295000253
2023-11-24,3796554.148554961
2023-11-25,3854347.2770496956
2023-11-26,3856127.9380721273
2023-11-27,3724759.0404376476
2023-11-28,3733514.362957567
2023-11-29,3755378.719282468
2023-11-30,4056416.3354426073
2023-12-01,4075968.8669977733
2023-12-02,4101208.431700026
2023-12-03,4147556.6944812606
2023-12-04,4136830.966948244
2023-12-05,4127498.072951851
2023-12-06,3968979.002229144
2023-12-07,4013882.0606822902
2023-12-08,4065757.9325443376
2023-12-09,4198334.303499582
2023-12-10,4118702.7752658147
2023-12-11,3944202.6154214307
2023-12-12,4046149.4389021313
2023-12-13,3929771.711484902
2023-12-14,4028599.8644494573
2023-12-15,3981096.579285618
2023-12-16,3941086.0236321585
2023-12-17,3903061.4336017454
2023-12-18,3747041.9985847515
2023-12-19,3852235.4875127296
2023-12-20,3915585.3881278345
2023-12-21,3927100.1943112034
2023-12-22,3978553.5625671707
2023-12-23,3909669.818184101
2023-12-24,3922358.2385630584
2023-12-25,3882756.2314807214
2023-12-26,3861727.628058678
2023-12-27,3845584.193970749
2023-12-28,3942564.986481158
2023-12-29,3964481.277244071
2023-12-30,3887675.123553755
2023-12-31,3845240.7326885466
2024-01-01,3819715.482405874
2024-01-02,3909706.6078247447
2024-01-03,3878525.6438771538
2024-01-04,3818272.338005474
2024-01-05,3793179.195031484
2024-01-06,3658212.4328834075
2024-01-07,3637549.7861089474
2024-01-08,3545643.446279329
2024-01-09,3668422.3961444134
2024-01-10,3643235.168329453
2024-01-11,3704576.675223518
2024-01-12,3678445.6806675997
2024-01-13,3527684.10032393
2024-01-14,3510075.109155657
2024-01-15,3472283.374449036
2024-01-16,3552507.707332901
2024-01-17,3543748.5779946162
2024-01-18,3546245.119468721
2024-01-19,3525203.802796463
2024-01-20,3456120.934349896
2024-01-21,3432491.9441624917
2024-01-22,3352375.814262566
2024-01-23,3329656.630402038
2024-01-24,3431835.1369550996
2024-01-25,3384617.410024899
2024-01-26,3390574.866197612
2024-01-27,3392817.0518232174
2024-01-28,3393869.57822355
