date,volume
2023-03-06,393
2023-03-07,3322
2023-03-08,3187
2023-03-09,758498
2023-03-10,945399
2023-03-11,694620
2023-03-12,1244900
2023-03-13,1239536
2023-03-14,8254862
2023-03-15,6268208
2023-03-16,6277953
2023-03-17,6760080
2023-03-18,5007865
2023-03-19,3730387
2023-03-20,5203360
2023-03-21,11285843
2023-03-22,3591554
2023-03-23,3224289
2023-03-24,2406787
2023-03-25,3883013
2023-03-26,4063063
2023-03-27,2421233
2023-03-28,4510356
2023-03-29,2561917
2023-03-30,2450244
2023-03-31,1418057
2023-04-01,969025
2023-04-02,863702
2023-04-03,958086
2023-04-04,1517059
2023-04-05,602123
2023-04-06,549226
2023-04-07,493521
2023-04-08,662387
2023-04-09,382060
2023-04-10,560340
2023-04-11,600758
2023-04-12,935036
2023-04-13,1214595
2023-04-14,882686
2023-04-15,1376102
2023-04-16,924747
2023-04-17,1276918
2023-04-18,1264651
2023-04-19,1324006
2023-04-20,729786
2023-04-21,801607
2023-04-22,370391
2023-04-23,427568
2023-04-24,518777
2023-04-25,352935
2023-04-26,744496
2023-04-27,459113
2023-04-28,568068
2023-04-29,758113
2023-04-30,620721
2023-05-01,954910
2023-05-02,1008695
2023-05-03,1859042
2023-05-04,1600792
2023-05-05,2385025
2023-05-06,1630107
2023-05-07,1075784
2023-05-08,2525657
2023-05-09,1747118
2023-05-10,1051866
2023-05-11,809307
2023-05-12,1070167
2023-05-13,674648
2023-05-14,620332
2023-05-15,1057772
2023-05-16,609327
2023-05-17,1056495
2023-05-18,1088907
2023-05-19,787526
2023-05-20,614596
2023-05-21,883206
2023-05-22,600707
2023-05-23,462025
2023-05-24,603962
2023-05-25,401857
2023-05-26,388039
2023-05-27,574676
2023-05-28,629297
2023-05-29,516732
2023-05-30,351746
2023-05-31,618704
2023-06-01,658630
2023-06-02,685089
2023-06-03,539016
2023-06-04,614357
2023-06-05,740117
2023-06-06,441178
2023-06-07,500206
2023-06-08,437049
2023-06-09,291661
2023-06-10,467504
2023-06-11,255408
2023-06-12,221092
2023-06-13,277047
2023-06-14,394236
2023-06-15,201163
2023-06-16,196468
2023-06-17,166633
2023-06-18,45293
2023-06-19,56984
2023-06-20,141244
2023-06-21,142370
2023-06-22,81739
2023-06-23,58302
2023-06-24,62116
2023-06-25,45668
2023-06-26,56217
2023-06-27,57322
2023-06-28,66307
2023-06-29,42310
2023-06-30,32946
2023-07-01,26790
2023-07-02,58718
2023-07-03,43676
2023-07-04,120190
2023-07-05,79564
2023-07-06,51475
2023-07-07,72424
2023-07-08,40213
2023-07-09,46562
2023-07-10,69299
2023-07-11,89227
2023-07-12,42213
2023-07-13,49481
2023-07-14,68171
2023-07-15,98593
2023-07-16,39613
2023-07-17,63037
2023-07-18,55201
2023-07-19,49234
2023-07-20,62848
2023-07-21,54807
2023-07-22,49788
2023-07-23,84165
2023-07-24,104868
2023-07-25,93901
2023-07-26,82862
2023-07-27,56151
2023-07-28,52623
2023-07-29,34939
2023-07-30,62339
2023-07-31,71603
2023-08-01,33907
2023-08-02,33968
2023-08-03,65304
2023-08-04,52469
2023-08-05,25149
2023-08-06,40182
2023-08-07,33232
2023-08-08,44676
2023-08-09,45800
2023-08-10,35075
2023-08-11,66160
2023-08-12,21411
2024-03-20,1479
2024-03-21,1964
2024-03-22,3967
2024-03-23,10967
2024-03-24,13148
2024-03-25,13364
2024-03-26,28133
2024-03-27,22045
2024-03-28,44753
2024-03-29,29111
2024-03-30,44590
2024-03-31,141122
2024-04-01,257279
2024-04-02,362885
2024-04-03,220855
2024-04-04,80956
2024-04-05,182741
2024-04-06,86760
2024-04-07,28679
2024-04-08,42387
2024-04-09,62118
2024-04-10,28001
2024-04-11,56196
2024-04-12,3121967
2024-04-13,432522
2024-04-14,192822
2024-04-15,11223069
2024-04-16,13817173
2024-04-17,8638883
2024-04-18,6012119
2024-04-19,5520194
2024-04-20,3996166
2024-04-21,8566354
2024-04-22,7958741
2024-04-23,4807184
2024-04-24,5262261
2024-04-25,5032259
2024-04-26,4550235
2024-04-27,4098254
2024-04-28,4479248
2024-04-29,4440059
2024-04-30,5590303
2024-05-01,5164011
2024-05-02,5473452
2024-05-03,3930491
2024-05-04,3117652
2024-05-05,1924661
2024-05-06,3384807
2024-05-07,2044656
2024-05-08,1200383
2024-05-09,1147268
2024-05-10,799785
2024-05-11,366512
2024-05-12,1081639
2024-05-13,758302
2024-05-14,784119
2024-05-15,1256172
2024-05-16,5679687
2024-05-17,2190208
2024-05-18,2284762
2024-05-19,1035585
2024-05-20,1107608
2024-05-21,1729284
2024-05-22,1118166
2024-05-23,654846
2024-05-24,3318104
2024-05-25,13287453
2024-05-26,4773672
2024-05-27,5423012
2024-05-28,4399875
2024-05-29,2166203
2024-05-30,2953258
2024-05-31,2371775
2024-06-01,1471874
2024-06-02,1085608
2024-06-03,1180781
2024-06-04,3192520
2024-06-05,2415121
2024-06-06,1104348
2024-06-07,3680588
2024-06-08,771562
2024-06-09,357014
2024-06-10,540674
2024-06-11,945093
2024-06-12,733974
2024-06-13,585008
2024-06-14,640455
2024-06-15,287772
2024-06-16,998087
2024-06-17,1723061
2024-06-18,1360739
2024-06-19,474638
2024-06-20,1286099
2024-06-21,583851
2024-06-22,240944
2024-06-23,272615
2024-06-24,1330820
2024-06-25,378287
2024-06-26,222011
2024-06-27,233471
2024-06-28,264779
2024-06-29,304439
2024-06-30,346986
2024-07-01,224043
2024-07-02,172149
2024-07-03,333180
2024-07-04,392609
2024-07-05,382251
2024-07-06,508657
2024-07-07,220734
2024-07-08,329388
2024-07-09,252098
2024-07-10,243588
2024-07-11,275941
2024-07-12,165780
2024-07-13,131615
2024-07-14,951654
2024-07-15,1589580
2024-07-16,5055599
2024-07-17,2807355
2024-07-18,2274724
2024-07-19,1885366
2024-07-20,947245
2024-07-21,4813662
2024-07-22,2510240
2024-07-23,1793694
2024-07-24,1681751
2024-07-25,2382850
2024-07-26,1179553
2024-07-27,1363116
2024-07-28,659342
2024-07-29,1167956
2024-07-30,650698
2024-07-31,943874
2024-08-01,1857308
2024-08-02,1976018
2024-08-03,672240
2024-08-04,136460
2024-08-05,722565
2024-08-06,283952
2024-08-07,163751
2024-08-08,176828
2024-08-09,98304
2024-08-10,54862
2024-08-11,93763
2024-08-12,174727
2024-08-13,218888
2024-08-14,60950
2024-08-15,160944
2024-08-16,72869
2024-08-17,29664
2024-08-18,25588
2024-08-19,68080
2024-08-20,370272
2024-08-21,309394
2024-08-22,169499
2024-08-23,2180468
2024-08-24,898133
2024-08-25,766804
2024-08-26,951478
2024-08-27,972601
2024-08-28,664410
2024-08-29,196801
2024-08-30,81291
2024-08-31,748520
2024-09-01,113470
2024-09-02,394545
2024-09-03,46588
2024-09-04,84754
2024-09-05,52577
2024-09-06,103631
2024-09-07,36027
2024-09-08,65364
2024-09-09,78787
2024-09-10,86292
2024-09-11,137891
2024-09-12,65473
2024-09-13,100723
2024-09-14,325017
2024-09-15,560789
2024-09-16,322496
2024-09-17,358348
2024-09-18,447530
2024-09-19,840165
2024-09-20,2291232
2024-09-21,1894735
2024-09-22,661022
2024-09-23,814651
2024-09-24,868821
2024-09-25,913112
2024-09-26,1328824
2024-09-27,310301
2024-09-28,174389
2024-09-29,835190
2024-09-30,1681773
2024-10-01,1940904
2024-10-02,557536
2024-10-03,135846
2024-10-04,104801
2024-10-05,67995
2024-10-06,79171
2024-10-07,779848
2024-10-08,387085
2024-10-09,89712
2024-10-10,110030
2024-10-11,82769
2024-10-12,235097
2024-10-13,174964
2024-10-14,365982
2024-10-15,2284060
2024-10-16,831981
2024-10-17,784145
2024-10-18,438829
2024-10-19,485723
2024-10-20,554301
2024-10-21,979357
2024-10-22,654726
2024-10-23,136900
2024-10-24,273274
2024-10-25,196751
2024-10-26,277163
2024-10-27,32291
2024-10-28,71306
2024-10-29,222515
2024-10-30,980029
